date,feature_index,NO2
2022-10-18 00:00:00+00:00,0,2.8112128347856924e-05
2022-10-19 00:00:00+00:00,0,2.8112128347856924e-05
2022-10-20 00:00:00+00:00,0,2.8112128347856924e-05
2022-10-21 00:00:00+00:00,0,2.8112128347856924e-05
2022-10-22 00:00:00+00:00,0,2.8112128347856924e-05
2022-10-23 00:00:00+00:00,0,2.834538281604182e-05
2022-10-24 00:00:00+00:00,0,3.2349811226595195e-05
2022-10-25 00:00:00+00:00,0,3.635423963714857e-05
2022-10-26 00:00:00+00:00,0,4.035866804770194e-05
2022-10-27 00:00:00+00:00,0,4.436309645825531e-05
2022-10-28 00:00:00+00:00,0,4.836752486880869e-05
2022-10-29 00:00:00+00:00,0,7.266955435625277e-05
2022-10-30 00:00:00+00:00,0,9.697158384369686e-05
2022-10-31 00:00:00+00:00,0,4.610198448062874e-05
2022-11-01 00:00:00+00:00,0,3.72459071513731e-05
2022-11-02 00:00:00+00:00,0,2.8479101274569985e-05
2022-11-03 00:00:00+00:00,0,1.9712295397766862e-05
2022-11-04 00:00:00+00:00,0,2.029645111178979e-05
2022-11-05 00:00:00+00:00,0,2.0880606825812716e-05
2022-11-06 00:00:00+00:00,0,2.1464762539835647e-05
2022-11-07 00:00:00+00:00,0,2.2048918253858574e-05
2022-11-08 00:00:00+00:00,0,2.26330739678815e-05
2022-11-09 00:00:00+00:00,0,2.190339930368484e-05
2022-11-10 00:00:00+00:00,0,2.1173724639488177e-05
2022-11-11 00:00:00+00:00,0,2.0444049975291517e-05
2022-11-12 00:00:00+00:00,0,1.9714375311094853e-05
2022-11-13 00:00:00+00:00,0,1.8984700646898193e-05
2022-11-14 00:00:00+00:00,0,1.8255025982701532e-05
2022-11-15 00:00:00+00:00,0,1.752535131850487e-05
2022-11-16 00:00:00+00:00,0,1.6795676654308205e-05
2022-11-17 00:00:00+00:00,0,1.6066001990111545e-05
2022-11-18 00:00:00+00:00,0,1.4987574468250387e-05
2022-11-19 00:00:00+00:00,0,1.3909146946389227e-05
2022-11-20 00:00:00+00:00,0,1.2830719424528069e-05
2022-11-21 00:00:00+00:00,0,1.175229190266691e-05
2022-11-22 00:00:00+00:00,0,1.0673864380805751e-05
2022-11-23 00:00:00+00:00,0,1.211600269576033e-05
2022-11-24 00:00:00+00:00,0,1.3558141010714908e-05
2022-11-25 00:00:00+00:00,0,1.5000279325669486e-05
2022-11-26 00:00:00+00:00,0,1.6442417640624066e-05
2022-11-27 00:00:00+00:00,0,1.7884555955578642e-05
2022-11-28 00:00:00+00:00,0,1.9326694270533222e-05
2022-11-29 00:00:00+00:00,0,2.07688325854878e-05
2022-11-30 00:00:00+00:00,0,2.221097090044238e-05
2022-12-01 00:00:00+00:00,0,2.365310921539696e-05
2022-12-02 00:00:00+00:00,0,2.5095247530351535e-05
2022-12-03 00:00:00+00:00,0,2.653738584530611e-05
2022-12-04 00:00:00+00:00,0,2.797952416026069e-05
2022-12-05 00:00:00+00:00,0,2.942166247521527e-05
2022-12-06 00:00:00+00:00,0,1.2975494428246748e-05
2022-12-07 00:00:00+00:00,0,3.574417132767849e-05
2022-12-08 00:00:00+00:00,0,3.192248004779685e-05
2022-12-09 00:00:00+00:00,0,2.810078876791522e-05
2022-12-10 00:00:00+00:00,0,3.096440923400223e-05
2022-12-11 00:00:00+00:00,0,2.255688377772458e-05
2022-12-12 00:00:00+00:00,0,3.461922096903436e-05
2022-12-13 00:00:00+00:00,0,3.3405263820895925e-05
2022-12-14 00:00:00+00:00,0,3.219130667275749e-05
2022-12-15 00:00:00+00:00,0,3.097734952461906e-05
2022-12-16 00:00:00+00:00,0,2.964930718007963e-05
2022-12-17 00:00:00+00:00,0,2.8321264835540205e-05
2022-12-18 00:00:00+00:00,0,2.699322249100078e-05
2022-12-19 00:00:00+00:00,0,3.0514574973494742e-05
2022-12-20 00:00:00+00:00,0,4.399286262923852e-05
2022-12-21 00:00:00+00:00,0,3.624857345130295e-05
2022-12-22 00:00:00+00:00,0,3.575171675558003e-05
2022-12-23 00:00:00+00:00,0,3.5254860059857105e-05
2022-12-24 00:00:00+00:00,0,3.475800336413419e-05
2022-12-25 00:00:00+00:00,0,3.4261146668411265e-05
2022-12-26 00:00:00+00:00,0,3.376428997268834e-05
2022-12-27 00:00:00+00:00,0,3.326743327696542e-05
2022-12-28 00:00:00+00:00,0,3.2770576581242494e-05
2022-12-29 00:00:00+00:00,0,3.227371988551958e-05
2022-12-30 00:00:00+00:00,0,3.1776863189796654e-05
2022-12-31 00:00:00+00:00,0,3.128000649407373e-05
2023-01-01 00:00:00+00:00,0,3.078314979835081e-05
2023-01-02 00:00:00+00:00,0,3.0286293102627887e-05
2023-01-03 00:00:00+00:00,0,2.9789436406904967e-05
2023-01-04 00:00:00+00:00,0,2.9292579711182043e-05
2023-01-05 00:00:00+00:00,0,2.05595169973094e-05
2023-01-06 00:00:00+00:00,0,3.377087523404043e-05
2023-01-07 00:00:00+00:00,0,4.698223347077146e-05
2023-01-08 00:00:00+00:00,0,2.03459057956934e-05
2023-01-09 00:00:00+00:00,0,5.642266114591621e-05
2023-01-10 00:00:00+00:00,0,9.249941649613902e-05
2023-01-11 00:00:00+00:00,0,2.49321419687476e-05
2023-01-12 00:00:00+00:00,0,3.0002025596331805e-05
2023-01-13 00:00:00+00:00,0,2.27966156671755e-05
2023-01-14 00:00:00+00:00,0,1.700725442788098e-05
2023-01-15 00:00:00+00:00,0,2.4412757738900837e-05
2023-01-16 00:00:00+00:00,0,3.181826104992069e-05
2023-01-17 00:00:00+00:00,0,2.52105928666424e-05
2023-01-18 00:00:00+00:00,0,2.6374380468041636e-05
2023-01-19 00:00:00+00:00,0,2.753816806944087e-05
2023-01-20 00:00:00+00:00,0,2.8701955670840107e-05
2023-01-21 00:00:00+00:00,0,2.9865743272239342e-05
2023-01-22 00:00:00+00:00,0,3.63961880793795e-05
2023-01-23 00:00:00+00:00,0,3.531125660381142e-05
2023-01-24 00:00:00+00:00,0,3.4226325128243346e-05
2023-01-25 00:00:00+00:00,0,3.314139365267527e-05
2023-01-26 00:00:00+00:00,0,3.205646217710719e-05
2023-01-27 00:00:00+00:00,0,3.097153070153912e-05
2023-01-28 00:00:00+00:00,0,2.9886599225971043e-05
2023-01-29 00:00:00+00:00,0,2.8801667750402967e-05
2023-01-30 00:00:00+00:00,0,2.7716736274834893e-05
2023-01-31 00:00:00+00:00,0,2.6631804799266817e-05
2023-02-01 00:00:00+00:00,0,2.554687332369874e-05
2023-02-02 00:00:00+00:00,0,2.4461941848130664e-05
2023-02-03 00:00:00+00:00,0,2.3377010372562587e-05
2023-02-04 00:00:00+00:00,0,2.229207889699451e-05
2023-02-05 00:00:00+00:00,0,2.1207147421426434e-05
2023-02-06 00:00:00+00:00,0,2.012221594585836e-05
2023-02-07 00:00:00+00:00,0,1.9037284470290285e-05
2023-02-08 00:00:00+00:00,0,1.7952352994722208e-05
2023-02-09 00:00:00+00:00,0,1.686742151915413e-05
2023-02-10 00:00:00+00:00,0,1.578249004358606e-05
2023-02-11 00:00:00+00:00,0,1.4697558568017982e-05
2023-02-12 00:00:00+00:00,0,1.3612627092449905e-05
2023-02-13 00:00:00+00:00,0,1.2527695616881829e-05
2023-02-14 00:00:00+00:00,0,3.0650327971670777e-05
2023-02-15 00:00:00+00:00,0,3.018947457652151e-05
2023-02-16 00:00:00+00:00,0,2.972862118137224e-05
2023-02-17 00:00:00+00:00,0,2.9267767786222976e-05
2023-02-18 00:00:00+00:00,0,2.8806914391073708e-05
2023-02-19 00:00:00+00:00,0,2.834606099592444e-05
2023-02-20 00:00:00+00:00,0,2.788520760077517e-05
2023-02-21 00:00:00+00:00,0,3.0293576401163588e-05
2023-02-22 00:00:00+00:00,0,3.270194520155201e-05
2023-02-23 00:00:00+00:00,0,3.5110314001940424e-05
2023-02-24 00:00:00+00:00,0,3.751868280232884e-05
2023-02-25 00:00:00+00:00,0,3.419428399606009e-05
2023-02-26 00:00:00+00:00,0,3.0869885189791345e-05
2023-02-27 00:00:00+00:00,0,2.7545486383522594e-05
2023-02-28 00:00:00+00:00,0,2.4221087577253847e-05
2023-03-01 00:00:00+00:00,0,2.08966887709851e-05
2023-03-02 00:00:00+00:00,0,1.757228996471635e-05
2023-03-03 00:00:00+00:00,0,1.42478911584476e-05
2023-03-04 00:00:00+00:00,0,2.46157028414018e-05
2023-03-05 00:00:00+00:00,0,3.4983514524355996e-05
2023-03-06 00:00:00+00:00,0,4.5351326207310194e-05
2023-03-07 00:00:00+00:00,0,5.571913789026439e-05
2023-03-08 00:00:00+00:00,0,4.449527114047669e-05
2023-03-09 00:00:00+00:00,0,3.3271404390688986e-05
2023-03-10 00:00:00+00:00,0,2.204753764090128e-05
2023-03-11 00:00:00+00:00,0,3.423247471801005e-05
2023-03-12 00:00:00+00:00,0,2.0870513253612444e-05
2023-03-13 00:00:00+00:00,0,1.8725111355403595e-05
2023-03-14 00:00:00+00:00,0,1.6579709457194742e-05
2023-03-15 00:00:00+00:00,0,1.4434307558985893e-05
2023-03-16 00:00:00+00:00,0,1.6083952505141497e-05
2023-03-17 00:00:00+00:00,0,1.7733597451297102e-05
2023-03-18 00:00:00+00:00,0,1.9383242397452707e-05
2023-03-19 00:00:00+00:00,0,2.103288734360831e-05
2023-03-20 00:00:00+00:00,0,2.2682532289763916e-05
2023-03-21 00:00:00+00:00,0,4.259307388565503e-05
2023-03-22 00:00:00+00:00,0,1.7999194824369624e-05
2023-03-23 00:00:00+00:00,0,2.5092944269999865e-05
2023-03-24 00:00:00+00:00,0,2.4439635429492533e-05
2023-03-25 00:00:00+00:00,0,2.37863265889852e-05
2023-03-26 00:00:00+00:00,0,2.3133017748477872e-05
2023-03-27 00:00:00+00:00,0,2.247970890797054e-05
2023-03-28 00:00:00+00:00,0,2.1826400067463208e-05
2023-03-29 00:00:00+00:00,0,2.1173091226955876e-05
2023-03-30 00:00:00+00:00,0,2.0519782386448547e-05
2023-03-31 00:00:00+00:00,0,1.9866473545941215e-05
2023-04-01 00:00:00+00:00,0,1.9213164705433883e-05
2023-04-02 00:00:00+00:00,0,2.147790967553322e-05
2023-04-03 00:00:00+00:00,0,2.3742654645632554e-05
2023-04-04 00:00:00+00:00,0,2.6007399615731887e-05
2023-04-05 00:00:00+00:00,0,2.8272144585831226e-05
2023-04-06 00:00:00+00:00,0,3.053688955593056e-05
2023-04-07 00:00:00+00:00,0,3.280163452602989e-05
2023-04-08 00:00:00+00:00,0,3.506637949612923e-05
2023-04-09 00:00:00+00:00,0,1.4416313206311315e-05
2023-04-10 00:00:00+00:00,0,2.004264752031304e-05
2023-04-11 00:00:00+00:00,0,1.754354889271781e-05
2023-04-12 00:00:00+00:00,0,2.58979998761788e-05
2023-04-13 00:00:00+00:00,0,4.031481269824629e-05
2023-04-14 00:00:00+00:00,0,5.4731625520313784e-05
2023-04-15 00:00:00+00:00,0,6.914843834238127e-05
2023-04-16 00:00:00+00:00,0,1.9168732251273468e-05
2023-04-17 00:00:00+00:00,0,2.9020483149603628e-05
2023-04-18 00:00:00+00:00,0,3.887223404793379e-05
2023-04-19 00:00:00+00:00,0,4.8723984946263954e-05
2023-04-20 00:00:00+00:00,0,3.98592813629269e-05
2023-04-21 00:00:00+00:00,0,3.0994577779589846e-05
2023-04-22 00:00:00+00:00,0,2.2129874196252786e-05
2023-04-23 00:00:00+00:00,0,2.8029331588186324e-05
2023-04-24 00:00:00+00:00,0,3.392878898011986e-05
2023-04-25 00:00:00+00:00,0,3.98282463720534e-05
2023-04-26 00:00:00+00:00,0,3.8339274397003464e-05
2023-04-27 00:00:00+00:00,0,3.685030242195353e-05
2023-04-28 00:00:00+00:00,0,3.5361330446903594e-05
2023-04-29 00:00:00+00:00,0,3.387235847185366e-05
2023-04-30 00:00:00+00:00,0,3.238338649680372e-05
2023-05-01 00:00:00+00:00,0,3.089441452175379e-05
2023-05-02 00:00:00+00:00,0,2.33174032473471e-05
2023-05-03 00:00:00+00:00,0,2.6090389534753438e-05
2023-05-04 00:00:00+00:00,0,2.886337582215977e-05
2023-05-05 00:00:00+00:00,0,3.163636210956611e-05
2023-05-06 00:00:00+00:00,0,3.440934839697244e-05
2023-05-07 00:00:00+00:00,0,3.7182334684378773e-05
2023-05-08 00:00:00+00:00,0,3.995532097178511e-05
2023-05-09 00:00:00+00:00,0,3.511666982376482e-05
2023-05-10 00:00:00+00:00,0,3.0278018675744535e-05
2023-05-11 00:00:00+00:00,0,2.5439367527724242e-05
2023-05-12 00:00:00+00:00,0,2.0600716379703953e-05
2023-05-13 00:00:00+00:00,0,1.5762065231683664e-05
2023-05-14 00:00:00+00:00,0,2.896323894674424e-05
2023-05-15 00:00:00+00:00,0,3.176657628500834e-05
2023-05-16 00:00:00+00:00,0,6.196420144988224e-05
2023-05-17 00:00:00+00:00,0,9.216182661475614e-05
2023-05-18 00:00:00+00:00,0,2.3109085304895416e-05
2023-05-19 00:00:00+00:00,0,2.2410865312849637e-05
2023-05-20 00:00:00+00:00,0,2.171264532080386e-05
2023-05-21 00:00:00+00:00,0,2.101442532875808e-05
2023-05-22 00:00:00+00:00,0,2.03162053367123e-05
2023-05-23 00:00:00+00:00,0,2.2466027076006867e-05
2023-05-24 00:00:00+00:00,0,2.4615848815301433e-05
2023-05-25 00:00:00+00:00,0,2.6765670554596e-05
2023-05-26 00:00:00+00:00,0,9.863826562650502e-06
2023-05-27 00:00:00+00:00,0,3.562984784366563e-05
2023-05-28 00:00:00+00:00,0,3.337336238473654e-05
2023-05-29 00:00:00+00:00,0,3.247552740504034e-05
2023-05-30 00:00:00+00:00,0,2.727088849496795e-05
2023-05-31 00:00:00+00:00,0,2.206624958489556e-05
2023-06-01 00:00:00+00:00,0,2.898094680858776e-05
2023-06-02 00:00:00+00:00,0,3.589564403227996e-05
2023-06-03 00:00:00+00:00,0,4.281034125597216e-05
2023-06-04 00:00:00+00:00,0,3.726838622242212e-05
2023-06-05 00:00:00+00:00,0,3.440013970248401e-05
2023-06-06 00:00:00+00:00,0,3.15318931825459e-05
2023-06-07 00:00:00+00:00,0,2.866364666260779e-05
2023-06-08 00:00:00+00:00,0,2.5795400142669676e-05
2023-06-09 00:00:00+00:00,0,2.2927153622731566e-05
2023-06-10 00:00:00+00:00,0,8.224624616559595e-05
2023-06-11 00:00:00+00:00,0,7.441238189390528e-05
2023-06-12 00:00:00+00:00,0,6.657851762221461e-05
2023-06-13 00:00:00+00:00,0,5.874465335052394e-05
2023-06-14 00:00:00+00:00,0,5.091078907883327e-05
2023-06-15 00:00:00+00:00,0,4.30769248071426e-05
2023-06-16 00:00:00+00:00,0,3.524306053545194e-05
2023-06-17 00:00:00+00:00,0,2.740919626376126e-05
2023-06-18 00:00:00+00:00,0,2.9937290491943713e-05
2023-06-19 00:00:00+00:00,0,3.246538472012617e-05
2023-06-20 00:00:00+00:00,0,4.761277887155302e-05
2023-06-21 00:00:00+00:00,0,7.09965024725534e-05
2023-06-22 00:00:00+00:00,0,5.923807839280926e-05
2023-06-23 00:00:00+00:00,0,4.747965431306511e-05
2023-06-24 00:00:00+00:00,0,3.5721230233320966e-05
2023-06-25 00:00:00+00:00,0,3.539698324554289e-05
2023-06-26 00:00:00+00:00,0,3.5072736257764824e-05
2023-06-27 00:00:00+00:00,0,3.474848926998675e-05
2023-06-28 00:00:00+00:00,0,1.9676748706842773e-05
2023-06-29 00:00:00+00:00,0,3.512906550895423e-05
2023-06-30 00:00:00+00:00,0,2.533884617150761e-05
2023-07-01 00:00:00+00:00,0,2.329750350327231e-05
2023-07-02 00:00:00+00:00,0,4.489502559105556e-05
2023-07-03 00:00:00+00:00,0,6.64925476788388e-05
2023-07-04 00:00:00+00:00,0,8.809006976662204e-05
2023-07-05 00:00:00+00:00,0,2.372477865719702e-05
2023-07-06 00:00:00+00:00,0,3.407267649890855e-05
2023-07-07 00:00:00+00:00,0,2.997756882905378e-05
2023-07-08 00:00:00+00:00,0,2.588246115919901e-05
2023-07-09 00:00:00+00:00,0,2.178735348934424e-05
2023-07-10 00:00:00+00:00,0,1.769224581948947e-05
2023-07-11 00:00:00+00:00,0,4.8421701649203897e-05
2023-07-12 00:00:00+00:00,0,5.204676926950924e-05
2023-07-13 00:00:00+00:00,0,5.351957467307026e-05
2023-07-14 00:00:00+00:00,0,5.4992380076631285e-05
2023-07-15 00:00:00+00:00,0,5.6465185480192304e-05
2023-07-16 00:00:00+00:00,0,4.1265026084147394e-05
2023-07-17 00:00:00+00:00,0,3.513190313242376e-05
2023-07-18 00:00:00+00:00,0,4.018802792415954e-05
2023-07-19 00:00:00+00:00,0,2.2539270503330044e-05
2023-07-20 00:00:00+00:00,0,2.5919127438100983e-05
2023-07-21 00:00:00+00:00,0,5.244915882940404e-05
2023-07-22 00:00:00+00:00,0,2.4249147827504203e-05
2023-07-23 00:00:00+00:00,0,1.93674804904731e-05
2023-07-24 00:00:00+00:00,0,2.4533484975108877e-05
2023-07-25 00:00:00+00:00,0,2.9699489459744655e-05
2023-07-26 00:00:00+00:00,0,3.486549394438043e-05
2023-07-27 00:00:00+00:00,0,3.131978155579418e-05
2023-07-28 00:00:00+00:00,0,2.469934952387121e-05
2023-07-29 00:00:00+00:00,0,2.0470495655899867e-05
2023-07-30 00:00:00+00:00,0,2.103275801346172e-05
2023-07-31 00:00:00+00:00,0,1.307888396695489e-05
2023-08-01 00:00:00+00:00,0,8.595435881867768e-06
2023-08-02 00:00:00+00:00,0,4.111987796780644e-06
2023-08-03 00:00:00+00:00,0,-3.714602883064799e-07
2023-08-04 00:00:00+00:00,0,6.329757979983697e-06
2023-08-05 00:00:00+00:00,0,2.9521106625907123e-05
2023-08-06 00:00:00+00:00,0,1.8771940934432983e-05
2023-08-07 00:00:00+00:00,0,8.02277524295884e-06
2023-08-08 00:00:00+00:00,0,-2.7263904485153034e-06
2023-08-09 00:00:00+00:00,0,1.8278372408531144e-05
2023-08-10 00:00:00+00:00,0,3.928313526557759e-05
2023-08-11 00:00:00+00:00,0,1.5229278687911574e-05
2023-08-12 00:00:00+00:00,0,2.1614827346638776e-05
2023-08-13 00:00:00+00:00,0,1.6223642887780443e-05
2023-08-14 00:00:00+00:00,0,1.083245842892211e-05
2023-08-15 00:00:00+00:00,0,1.5376481314888224e-05
2023-08-16 00:00:00+00:00,0,3.835798634099774e-05
2023-08-17 00:00:00+00:00,0,3.132400524918921e-05
2023-08-18 00:00:00+00:00,0,-6.735865554219345e-06
2023-08-19 00:00:00+00:00,0,-1.2737425549858017e-06
2023-08-20 00:00:00+00:00,0,4.188380444247741e-06
2023-08-21 00:00:00+00:00,0,8.431479500359274e-06
2023-08-22 00:00:00+00:00,0,1.2674578556470806e-05
2023-08-23 00:00:00+00:00,0,1.6917677612582338e-05
2023-08-24 00:00:00+00:00,0,2.116077666869387e-05
2023-08-25 00:00:00+00:00,0,2.1657522665918805e-05
2023-08-26 00:00:00+00:00,0,2.2154268663143742e-05
2023-08-27 00:00:00+00:00,0,2.2651014660368677e-05
2023-08-28 00:00:00+00:00,0,2.7737057280319277e-05
2023-08-29 00:00:00+00:00,0,3.282309990026988e-05
2023-08-30 00:00:00+00:00,0,4.114306193514494e-06
2023-08-31 00:00:00+00:00,0,1.1239674677199218e-05
2023-09-01 00:00:00+00:00,0,1.3462704373523591e-05
2023-09-02 00:00:00+00:00,0,2.1799035494041163e-05
2023-09-03 00:00:00+00:00,0,3.013536661455873e-05
2023-09-04 00:00:00+00:00,0,1.31702527141897e-05
2023-09-05 00:00:00+00:00,0,2.565234899520874e-05
2023-09-06 00:00:00+00:00,0,3.13724231091328e-05
2023-09-07 00:00:00+00:00,0,2.9229277060949247e-05
2023-09-08 00:00:00+00:00,0,2.708613101276569e-05
2023-09-09 00:00:00+00:00,0,1.369368146697525e-05
2023-09-10 00:00:00+00:00,0,1.1539396837179083e-05
2023-09-11 00:00:00+00:00,0,6.37214834569022e-05
2023-09-12 00:00:00+00:00,0,4.048875416629016e-05
2023-09-13 00:00:00+00:00,0,2.8845427095802727e-05
2023-09-14 00:00:00+00:00,0,1.72021000253153e-05
2023-09-15 00:00:00+00:00,0,5.558772954827873e-06
2023-09-16 00:00:00+00:00,0,2.2395870170536607e-05
2023-09-17 00:00:00+00:00,0,3.923296738624534e-05
2023-09-18 00:00:00+00:00,0,5.607006460195407e-05
2023-09-19 00:00:00+00:00,0,3.648938582045957e-05
2023-09-20 00:00:00+00:00,0,4.74701591883786e-05
2023-09-21 00:00:00+00:00,0,1.7091206245822832e-05
2023-09-22 00:00:00+00:00,0,2.5248376914532852e-05
2023-09-23 00:00:00+00:00,0,5.465712456498295e-05
2023-09-24 00:00:00+00:00,0,3.490494782454334e-05
2023-09-25 00:00:00+00:00,0,1.951523699972313e-05
2023-09-26 00:00:00+00:00,0,3.0094985049800016e-05
2023-09-27 00:00:00+00:00,0,5.339408016880043e-05
2023-09-28 00:00:00+00:00,0,2.3204702301882207e-05
2023-09-29 00:00:00+00:00,0,1.988716940104496e-05
2023-09-30 00:00:00+00:00,0,2.755340756266378e-05
2023-10-01 00:00:00+00:00,0,3.772687341552228e-05
2023-10-02 00:00:00+00:00,0,9.805451554711908e-06
2023-10-03 00:00:00+00:00,0,4.171005275566131e-05
2023-10-04 00:00:00+00:00,0,3.2284606883573964e-05
2023-10-05 00:00:00+00:00,0,2.2859161011486624e-05
2023-10-06 00:00:00+00:00,0,1.3433715139399284e-05
2023-10-07 00:00:00+00:00,0,2.0275757075675454e-05
2023-10-08 00:00:00+00:00,0,2.7117799011951625e-05
2023-10-09 00:00:00+00:00,0,3.395984094822779e-05
2023-10-10 00:00:00+00:00,0,4.546609125100076e-05
2023-10-11 00:00:00+00:00,0,3.674181789392605e-05
2023-10-12 00:00:00+00:00,0,2.9124769450087716e-05
2023-10-13 00:00:00+00:00,0,2.1507721006249384e-05
2023-10-14 00:00:00+00:00,0,1.3890672562411057e-05
2023-10-15 00:00:00+00:00,0,1.3215545095590642e-05
2023-10-16 00:00:00+00:00,0,1.2540417628770228e-05
2023-10-17 00:00:00+00:00,0,2.1957133867545053e-05
2023-10-18 00:00:00+00:00,0,2.1732974346377887e-05
2023-10-19 00:00:00+00:00,0,2.559546919655986e-05
2023-10-20 00:00:00+00:00,0,2.7144089472130872e-05
2023-10-21 00:00:00+00:00,0,3.983644273830578e-05
2023-10-22 00:00:00+00:00,0,3.358862886670977e-05
2023-10-23 00:00:00+00:00,0,3.5353534258319996e-05
2023-10-24 00:00:00+00:00,0,3.7118439649930224e-05
2023-10-25 00:00:00+00:00,0,2.7748526918003336e-05
2023-10-26 00:00:00+00:00,0,6.093172123655677e-05
2023-10-27 00:00:00+00:00,0,4.367701694718562e-05
2023-10-28 00:00:00+00:00,0,4.7886493121040985e-05
2023-10-29 00:00:00+00:00,0,5.209596929489635e-05
2023-10-30 00:00:00+00:00,0,5.494183642440476e-05
2023-10-31 00:00:00+00:00,0,4.116372383577982e-05
2023-11-01 00:00:00+00:00,0,2.7385611247154884e-05
2023-11-02 00:00:00+00:00,0,3.887923958245665e-05
2023-11-03 00:00:00+00:00,0,3.352689539800243e-05
2023-11-04 00:00:00+00:00,0,2.8174551213548206e-05
2023-11-05 00:00:00+00:00,0,2.2822207029093988e-05
2023-11-06 00:00:00+00:00,0,5.011460598325357e-05
2023-11-07 00:00:00+00:00,0,5.126087489770725e-05
2023-11-08 00:00:00+00:00,0,5.7780405768426135e-05
2023-11-09 00:00:00+00:00,0,7.545915286755189e-05
2023-11-10 00:00:00+00:00,0,3.577107781893574e-05
2023-11-11 00:00:00+00:00,0,3.7958396205795e-05
2023-11-12 00:00:00+00:00,0,4.014571459265426e-05
2023-11-13 00:00:00+00:00,0,4.833594963808233e-05
2023-11-14 00:00:00+00:00,0,5.652618468351041e-05
2023-11-15 00:00:00+00:00,0,6.471641972893849e-05
2023-11-16 00:00:00+00:00,0,8.65300462464802e-05
2023-11-17 00:00:00+00:00,0,2.113445407303516e-05
2023-11-18 00:00:00+00:00,0,7.204445137176663e-05
2023-11-19 00:00:00+00:00,0,3.846136678475887e-05
2023-11-20 00:00:00+00:00,0,3.693707549246028e-05
2023-11-21 00:00:00+00:00,0,2.985804167110473e-05
2023-11-22 00:00:00+00:00,0,2.2779007849749174e-05
2023-11-23 00:00:00+00:00,0,2.5984256353694942e-05
2023-11-24 00:00:00+00:00,0,2.9189504857640713e-05
2023-11-25 00:00:00+00:00,0,3.239475336158648e-05
2023-11-26 00:00:00+00:00,0,3.560000186553225e-05
2023-11-27 00:00:00+00:00,0,1.7921147446031682e-05
2023-11-28 00:00:00+00:00,0,2.6115482796740253e-05
2023-11-29 00:00:00+00:00,0,3.430981814744882e-05
2023-11-30 00:00:00+00:00,0,3.44441577908583e-05
2023-12-01 00:00:00+00:00,0,3.4578497434267774e-05
2023-12-02 00:00:00+00:00,0,3.471283707767725e-05
